vehiculo_label,modelo,promedio_calificacion,n_resenas
INFINITI QX80 Base,5.0,5.0,1
INFINITI Q50 3.0t Red Sport 400,5.0,5.0,1
INFINITI QX80 Luxe,5.0,5.0,1
INFINITI QX80 PREMIUM SELECT,5.0,5.0,1
INFINITI QX4,5.0,5.0,1
INFINITI QX55 LUXE,5.0,5.0,1
INFINITI QX80 Base,5.0,5.0,1
INFINITI QX60 Luxe,5.0,5.0,1
INFINITI QX80 Base,5.0,5.0,1
INFINITI Q50 3.0t Sport,5.0,5.0,1
INFINITI Q50 SENSORY,5.0,5.0,1
INFINITI QX50 Luxe,5.0,5.0,1
INFINITI Q60 3.0t Red Sport 400,5.0,5.0,1
INFINITI QX55 SENSORY,5.0,5.0,1
INFINITI QX56 Base,5.0,5.0,1
INFINITI Q50 3.0t Signature Edition,5.0,5.0,1
INFINITI EX35 Journey,5.0,5.0,1
INFINITI Q60 LUXE,5.0,5.0,1
INFINITI QX50 AUTOGRAPH,5.0,5.0,1
INFINITI QX80 Luxe,5.0,5.0,1
INFINITI QX50 ESSENTIAL,5.0,5.0,1
INFINITI QX80 Base,5.0,5.0,1
INFINITI QX55 ESSENTIAL,5.0,5.0,1
INFINITI G25x Base,5.0,5.0,1
INFINITI QX56 Base,5.0,5.0,1
INFINITI QX80 SENSORY,5.0,5.0,1
INFINITI QX80 Luxe,5.0,5.0,1
INFINITI QX55 ESSENTIAL,5.0,5.0,1
INFINITI QX60 SENSORY,5.0,5.0,1
INFINITI QX60 Luxe,5.0,5.0,1
INFINITI QX80 Luxe,5.0,5.0,1
INFINITI QX50 Base,5.0,5.0,1
INFINITI QX50 ESSENTIAL,5.0,5.0,1
INFINITI QX80 Luxe,5.0,5.0,1
INFINITI QX60 Luxe,5.0,5.0,1
INFINITI Q50 3.0t LUXE,5.0,5.0,1
INFINITI Q50 3.0t LUXE,5.0,5.0,1
Lexus RX 350h Luxury,5.0,5.0,1
Lexus IS 350 F Sport,5.0,5.0,1
Lexus IS 500 F SPORT Performance,5.0,5.0,1
Lexus ES 300h Base,5.0,5.0,1
Lexus GX 460 Base,5.0,5.0,1
Lexus RX 350 F SPORT Handling,5.0,5.0,1
Lexus LC 500,5.0,5.0,1
Lexus ES 300h Base,5.0,5.0,1
Lexus ES 300h Base,5.0,5.0,1
Lexus IS 350 F Sport,5.0,5.0,1
Lexus NX 300 F Sport,5.0,5.0,1
Lexus RX 350 Base,5.0,5.0,1
Lexus RX 350h Premium Plus,5.0,5.0,1
Lexus IS 350 F Sport,5.0,5.0,1
Lexus RX 350 Base,5.0,5.0,1
Lexus GS 350 F Sport,5.0,5.0,1
Lexus LS 500h Base,5.0,5.0,1
Lexus RX 350 Base,5.0,5.0,1
Lexus UX 250h Base,5.0,5.0,1
Lexus RX 350L Premium,5.0,5.0,1
Lexus GX 460 Luxury,5.0,5.0,1
Lexus ES 300h Base,5.0,5.0,1
Lexus GX 460 Base,5.0,5.0,1
Lexus GX 460 GX 460 Premium,5.0,5.0,1
Lexus LS 500 LS 500,5.0,5.0,1
Lexus LX 570 570,5.0,5.0,1
Lexus GS 350 Base,5.0,5.0,1
Lexus UX 250h F SPORT Design,5.0,5.0,1
Lexus LS 460 Base,5.0,5.0,1
Lexus GX 460 Base,5.0,5.0,1
Lexus NX 300 F Sport,5.0,5.0,1
Lexus GX 460 Premium,5.0,5.0,1
Lexus RC 350 Base,5.0,5.0,1
Lexus RC 300 Base,5.0,5.0,1
Lexus GX 460 Base,5.0,5.0,1
Lexus ES 300h,5.0,5.0,1
Lexus RC 300 Base,5.0,5.0,1
Lexus ES 300h 300H,5.0,5.0,1
Lexus RX 350 Base,5.0,5.0,1
Lexus UX 250h Base,5.0,5.0,1
Lexus RC 350 Base,5.0,5.0,1
Lexus GS 350 Base,5.0,5.0,1
Lexus NX 350h,5.0,5.0,1
Lexus RX 350L Premium,5.0,5.0,1
Lexus IS 350 F Sport,5.0,5.0,1
Lexus GX 460 Base,5.0,5.0,1
Lexus RX 350L Premium,5.0,5.0,1
Lexus LX 570 Three-Row,5.0,5.0,1
Lexus IS 250 Base,5.0,5.0,1
Lexus ES 350,5.0,5.0,1
Lexus ES 350 Base,5.0,5.0,1
Lexus RX 350 Base,5.0,5.0,1
Lexus UX 250h 250H,5.0,5.0,1
Lexus GS 200t 200T,5.0,5.0,1
Lexus RC 350 F Sport,5.0,5.0,1
Lexus ES 300h Base,5.0,5.0,1
Lexus NX 300,5.0,5.0,1
Lexus IS 250 Base,5.0,5.0,1
Lexus IS 250 Crafted Line,5.0,5.0,1
Lexus NX 200t Base,5.0,5.0,1
Lexus CT 200h Premium,5.0,5.0,1
Lexus GX 460 Luxury,5.0,5.0,1
Lexus NX 200t F Sport,5.0,5.0,1
Lexus ES 350,5.0,5.0,1
